"Item Code","Item Group","Brand","Item Name"
"Nasiol C 1 Lt","Car Care Products","Nasiol","Nasiol C 1 Lt"
"Nasiol Application Pad","Car Care Products","Nasiol","Nasiol Application Pad"
"Nasiol Anti-GRM 1l","Car Care Products","Nasiol","Nasiol Anti-GRM 1l"
"Vinyl Racks","Detailing Tools","HK Foshio","Vinyl Racks"
"Tucking Squeegee(soft)","Detailing Tools","HK Foshio","Tucking Squeegee(soft)"
"Tucking Squeegee(Medium?","Detailing Tools","HK Foshio","Tucking Squeegee(Medium?"
"Tucking Squeegee(Hard)","Detailing Tools","HK Foshio","Tucking Squeegee(Hard)"
"Triangular Tint Squeegee Set","Detailing Tools","HK Foshio","Triangular Tint Squeegee Set"
"Triangle PPF squeegee set","Detailing Tools","HK Foshio","Triangle PPF squeegee set"
"TPU PPF Puncture Tester Meter","Detailing Tools","HK Foshio","TPU PPF Puncture Tester Meter"
"Tinting squeegee set","Detailing Tools","HK Foshio","Tinting squeegee set"
"TESTING MACHINE","Detailing Tools","HK Foshio","TESTING MACHINE"
"Stainless Steel Detailing Tool Holder Rack","Detailing Tools","HK Foshio","Stainless Steel Detailing Tool Holder Rack"
"PPF Water Repellent Performance Display","Detailing Tools","HK Foshio","PPF Water Repellent Performance Display"
"PPF squeegee Set Blue","Detailing Tools","HK Foshio","PPF squeegee Set Blue"
"PPF Self Healing Machine","Detailing Tools","HK Foshio","PPF Self Healing Machine"
"Pink Turbo squeegee 5.5","Detailing Tools","HK Foshio","Pink Turbo squeegee 5.5"
"Nylon Car Wheel Cover","Detailing Tools","HK Foshio","Nylon Car Wheel Cover"
"Magnetic PPF Squeegees Set","Detailing Tools","HK Foshio","Magnetic PPF Squeegees Set"
"Magnetic PPF squeegee","Detailing Tools","HK Foshio","Magnetic PPF squeegee"
"Magnetic heat gun holder","Detailing Tools","HK Foshio","Magnetic heat gun holder"
"Magnetic Car Door Card Cover","Detailing Tools","HK Foshio","Magnetic Car Door Card Cover"
"Light Blue PPF Squeegees","Detailing Tools","HK Foshio","Light Blue PPF Squeegees"
"Keg Tray","Detailing Tools","HK Foshio","Keg Tray"
"Glass Shelf","Detailing Tools","HK Foshio","Glass Shelf"
"Folding Kneeling Mat","Detailing Tools","HK Foshio","Folding Kneeling Mat"
"Film transmission meter","Detailing Tools","HK Foshio","Film transmission meter"
"Emblem Remover","Detailing Tools","HK Foshio","Emblem Remover"
